Status,Company,Role,Location,Source,Attendance,Application,Type,Phone call,1st interview,2nd interview,3rd interview,Proposition,Final answer,URL
Rejected,Orange,Data Scientist,Rennes,Carrer Site,,30/08/2023,Offer,13/10/2023,,,,,26/10/2023,https://orange.jobs/jobs/v3/offers/127229?lang=
Applied,Orange,Data Scientist,Toulouse,Carrer Site,,30/08/2023,Offer,,,,,,,https://orange.jobs/jobs/v3/offers/128950?lang=
Applied,AZ Consulting,Data Scientist,,Recruitment Agency,,31/08/2023,Spontaneous,,,,,,,https://az-recrutement.wixsite.com/az-recrutement
No project for now,ALTEN,,Marignane,Reach-out,Hybrid,,,05/09/2023,06/09/2023 17:00,,,,06/09/2023,
No project for now,Astek,Data Scientist,,LinkedIn,,31/08/2023,Spontaneous,01/09/2023,07/09/2023 18:00,,,,07/09/2023,https://www.linkedin.com/posts/killian-vincent-57356a17a_avis-aux-passionn%C3%A9s-de-lit-%C3%A7a-y-est-activity-7102634703928610816-o8ke?utm_source=share&utm_medium=member_desktop
Applied,Capgemini,Data Scientist,Paris,Carrer Site,,31/08/2023,Offer,,,,,,,https://www.capgemini.com/fr-fr/jobs/Ul4P_ogB_6fKCuLHqUvN/consultant-data-scientist/
Rejected,Capgemini,Data Engineer,Aix-en-Provence,Carrer Site,,31/08/2023,Offer,,,,,,01/09/2023,https://www.capgemini.com/fr-fr/jobs/g14IU4kB_6fKCuLHdlDR/data-engineer-hf/
In process,ALTEN,Data Scientist,Toulouse,Carrer Site,,31/08/2023,Offer,31/08/2023,13/09/2023 18:00,,,,,https://www.alten.fr/jobs/743999853921413-data-analyst-h-f-data-scientist-h-f-2/
Rejected,Thalès,AI,Roma,Reach-out,,,,05/09/2023,08/09/2023 15:00,,,,05/10/2023,https://careers.thalesgroup.com/global/en/job/R0210061/Artificial-Intelligence-and-Computer-Space-Engineer
Turn down,CLEEVEN,Data Scientist,Antibe,Reach-out,Hybrid,,,07/09/2023,14/09/2023 17:00,27/09/2023 8:00,,02/10/2023,05/10/2023,
Rejected,AITEM,Data Engineer,Torino,Reach-out,,,,,15/09/2023 14:30,,,,19/09/2023,
Applied,ALTEN,Data Scientist,,Carrer Site,,31/08/2023,Spontaneous,,,,,,,
Rejected,Thalès,Data Engineer,Valbonne,Carrer Site,,31/08/2023,Offer,,,,,,13/09/2023,https://careers.thalesgroup.com/global/en/job/R0219376/Data-Engineer-H-F
Rejected,Thalès,Data Engineer,Vélizy-Villacoublay,Carrer Site,,31/08/2023,Offer,,,,,,26/09/2023,https://careers.thalesgroup.com/global/en/job/R0226368/Data-Engineer-F-H
Rejected,Devoteam,Data Engineer,Lyon,Carrer Site,,01/09/2023,Offer,,,,,,21/09/2023,https://www.devoteam.com/jobs/data-engineer-hf-74133050847306438/
Rejected,Engie,Data Scientist,Courbevoie,Carrer Site,,01/09/2023,Offer,,,,,,25/09/2023,https://jobs.engie.com/job/COURBEVOIE-Data-Scientist-%28HF%29-92400/953642355/
Rejected,Engie,Data Scientist,Courbevoie,Carrer Site,,01/09/2023,Offer,,,,,,10/10/2023,https://jobs.engie.com/job/COURBEVOIE-Trading-Data-Scientist-92400/948589955/
Rejected,Betclic,DataOps Engineer,Bordeaux,Carrer Site,,01/09/2023,Offer,,,,,,06/09/2023,https://betclic-group.breezy.hr/p/cd90c2fd10af01-data-ops-engineer-h-f
Rejected,Deloitte,Data Scientist,Paris,Carrer Site,,01/09/2023,Offer,,,,,,06/10/2023,https://www.deloitterecrute.fr/postulez/nos-offres/r-3088-data-scientist-consultant-financial-services-h-f/
Applied,Deloitte,Data Scientist,Paris,Carrer Site,,01/09/2023,Offer,,,,,,,https://fina.wd3.myworkdayjobs.com/fr-FR/DeloitteRecrute/job/Consultant-Risk-Data-Analyst---Data-Scientist--H-F-_R-4581
Applied,Viatris,Data Scientist,Lyon,Carrer Site,,01/09/2023,Offer,,,,,,,https://viatris.wd5.myworkdayjobs.com/en-US/External/job/Business-Commercial-Policies-Analyst-H-F---CDI_R5636476
Applied,Amiltone,Data Scientist,Nantes,Carrer Site,,01/09/2023,Offer,,,,,,,https://www.amiltone.com/emploi/data-scientist-h-f/
Applied,Amiltone,Data Scientist,,Carrer Site,,01/09/2023,Spontaneous,,,,,,,
Applied,KWAN,Data Scientist,Portugal,LinkedIn,Remote,01/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3707304293
Applied,KWAN,Data Scientist,Portugal,Carrer Site,Remote,01/09/2023,Spontaneous,,,,,,,
Applied,Crédit Agricole,Data Engineer,Nantes,LinkedIn,Hybrid,01/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3706786448
Applied,Crédit Agricole,Data Engineer,Paris,LinkedIn,Hybrid,01/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3702337294
Applied,EY,AI,Greece,Carrer Site,Remote,01/09/2023,Offer,,,,,,,https://careers.ey.com/ey/job/Athens-AI-Consultant-15125/951349601/
Applied,EY,Data Scientist,Athens,Carrer Site,Remote,01/09/2023,Offer,,,,,,,https://careers.ey.com/ey/job/Athens-Data-Scientist-Data-Analyst-15125/828329501/
Applied,EY,Data Scientist,Athens,Carrer Site,Remote,01/09/2023,Offer,,,,,,,https://careers.ey.com/ey/job/Athens-Data-scientist-Machine-Learning-15125/828336101/
Rejected,EY,Data Scientist,Prague,Carrer Site,,01/09/2023,Offer,,,,,,11/09/2023,https://careers.ey.com/ey/job/Prague-1-Nove-Mesto-Junior-Data-Scientist-110-00/852988401/
Rejected,EY,Data Scientist,Geneva,Carrer Site,,01/09/2023,Offer,,,,,,26/10/2023,https://careers.ey.com/ey/job/Grand-Lancy-Geneva-Consultant-Data-Scientist-Forensics-in-Geneva-1212/853801301/
Applied,agap2,Data Scientist,Paris,Apec,,01/09/2023,Offer,,,,,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/171848051W
